cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,int_flux_mJy,major_axis_arcsec,minor_axis_arcsec,rms_mJy_beam,sidelobe_prob,is_extended
7,A85,10.46,-9.3,1,10.4603375,-9.303155555555556,0.19038503329002285,37.05,42.75,3.059999942779541,1.559999942779541,,,False
7,A85,10.46,-9.3,2,10.456799999999998,-9.307277777777779,0.4760024140201409,1.69,1.61,3.6700000762939453,0.0,,,False
7,A85,10.46,-9.3,3,10.450908333333333,-9.284075,1.0967189243752604,5.28,4.78,0.8999999761581421,0.0,,,False
7,A85,10.46,-9.3,4,10.449883333333332,-9.27875,1.408713398129977,8.67,29.58,18.90999984741211,2.359999895095825,,,True
7,A85,10.46,-9.3,5,10.492712499999998,-9.28206388888889,2.215875965662009,1.2,1.89,10.4399995803833,0.0,,,True
7,A85,10.46,-9.3,6,10.452295833333332,-9.345783333333333,2.7846142451526914,2.48,2.11,1.850000023841858,0.0,,,False
7,A85,10.46,-9.3,7,10.449741666666664,-9.345552777777778,2.799839004509075,5.91,5.98,1.7400000095367432,0.0,,,False
7,A85,10.46,-9.3,8,10.4238875,-9.236077777777776,4.391219896374851,3.18,2.5,0.0,0.0,,,False
16,A1651,194.84,-4.19,1,194.84351249999997,-4.19615,0.42466352367587934,3.94,3.76,0.9200000166893005,0.0,,,False
16,A1651,194.84,-4.19,2,194.92290833333328,-4.190838888888889,4.961457033684471,2.21,1.83,0.0,0.0,,,False
29,A1650,194.67,-1.76,1,194.7057458333333,-1.7632777777777777,2.1527385315073495,1.22,0.91,0.8399999737739563,0.0,,,False
29,A1650,194.67,-1.76,2,194.66592916666664,-1.6854,4.4826532476560805,1.88,2.05,3.9200000762939453,0.0,,,False
44,RXC J1217.6+0339,184.42,3.66,1,184.41564583333331,3.6623638888888888,0.29679951712332114,91.58,346.67,14.779999732971191,5.550000190734863,,,True
44,RXC J1217.6+0339,184.42,3.66,2,184.4137458333333,3.660883333333333,0.3782163600191237,101.94,151.83,5.039999961853027,3.0299999713897705,,,False
44,RXC J1217.6+0339,184.42,3.66,3,184.41677916666666,3.6662222222222223,0.4202034020852577,25.53,199.32,24.469999313354492,9.130000114440918,,,True
44,RXC J1217.6+0339,184.42,3.66,4,184.4130333333333,3.667775,0.6258056732317101,157.39,369.23,8.15999984741211,5.440000057220459,,,True
44,RXC J1217.6+0339,184.42,3.66,5,184.46461666666664,3.6397472222222222,2.9349475998997607,1.34,20.01,27.030000686645508,17.639999389648438,,,True
