id,name,ra,dec,has_lotss_match,n_lotss_sources,closest_sep_arcmin,closest_total_flux_mJy,closest_resolved
115,MKW 3s,230.46,7.71,True,19,1.0339522513798962,1536.746563173885,R
116,A3126,52.16,-55.71,False,0,,,
117,A458,56.48,-24.28,False,0,,,
118,A133,15.68,-21.87,False,0,,,
119,A2052,229.18,7.02,True,19,0.353805328562319,55871.67791789287,R
120,A2428,334.06,-9.34,False,0,,,
121,RXC J0049.4-2931,12.35,-29.52,False,0,,,
122,A119,14.08,-1.22,True,22,1.3436994829600477,6.536225620915795,U
127,A2554,348.09,-21.5,False,0,,,
128,A2033,227.85,6.32,True,25,1.841843694861981,2882.29361264185,R
129,ACOS1111,349.77,-42.11,False,0,,,
130,A42,7.16,-23.64,False,0,,,
132,A3395,96.81,-54.47,False,0,,,
133,A1606,191.16,-11.99,False,0,,,
136,A2147,240.58,16.02,True,68,1.1272224841895004,1.5733727217485682,U
138,A2670,358.56,-10.41,False,0,,,
139,A3532,194.32,-30.38,False,0,,,
140,A763,138.12,15.94,True,44,0.8944254184481043,4.951724505385115,U
142,A2051,229.14,0.95,True,9,3.0754140407374835,1.5299437325001652,U
147,RXC J0034.6-0208,8.65,-2.14,True,19,1.757873694934704,11.856689437310848,U
149,A13,3.41,-19.5,False,0,,,
150,RXC J0034.2-0204,8.56,-2.08,True,21,0.7452511789780949,897.5716871348939,R
152,A4068,359.98,-39.48,False,0,,,
153,RXC J1139.4-3327,174.86,-33.45,False,0,,,
154,A2566,349.03,-20.46,False,0,,,
155,RXC J0351.1-8212,57.79,-82.22,False,0,,,
163,A2988,33.22,-47.13,False,0,,,
165,A2871,16.95,-36.73,False,0,,,
166,RXC J1332.9-2519,203.23,-25.32,False,0,,,
167,A2063,230.77,8.6,True,47,0.5634163266166621,82.82215790531632,R
170,RX J0820.9+0751,125.26,7.87,True,44,0.6239650148770901,1.4006788553224752,R
171,A2415,331.42,-5.59,False,0,,,
173,A3128,52.5,-52.6,False,0,,,
174,A1023,157.0,-6.8,False,0,,,
175,A3528,193.67,-29.22,False,0,,,
176,A1205,168.34,2.53,True,29,1.0697748305967276,8.153897168393906,U
178,A2734,2.84,-28.86,False,0,,,
179,A2377,326.48,-10.1,False,0,,,
180,RBS 0540,66.46,-8.56,False,0,,,
184,A761,137.65,-10.58,False,0,,,
187,A4067,359.83,-60.7,False,0,,,
188,A3825,329.61,-60.4,False,0,,,
189,A1809,208.25,5.16,True,35,1.2886228185175912,2.8558298205141015,U
192,A4038,356.93,-28.14,False,0,,,
193,A3104,48.58,-45.42,False,0,,,
195,RXC J2125.2-0657,321.3,-6.97,False,0,,,
199,A514,72.05,-20.47,False,0,,,
200,A2589,350.97,16.81,True,82,0.40235640462663086,0.5835773307552118,U
201,RXC J1416.8-1158,214.21,-11.98,False,0,,,
202,RXC J1459.0-0843,224.76,-8.73,False,0,,,
