name,ra,dec,reason
A399,44.46,13.05,Has citation but no SARAO obs: Murgia et al. (2010b)
A2721,1.51,-34.72,"Has citation but no SARAO obs: Duchesne, S. W., Johnston-Hollitt, M., O"
