id,name,ra,dec,has_first_match,n_first_sources,closest_sep_arcmin,closest_int_flux_mJy,closest_is_extended
138,A2670,358.56,-10.41,True,6,0.5542707212035262,1.73,True
139,A3532,194.32,-30.38,False,0,,,
140,A763,138.12,15.94,True,7,1.029431751380886,19.71,False
142,A2051,229.14,0.95,True,1,3.1716594452914806,7.15,False
147,RXC J0034.6-0208,8.65,-2.14,True,6,2.030297855321873,6.3,True
149,A13,3.41,-19.5,False,0,,,
150,RXC J0034.2-0204,8.56,-2.08,True,5,0.10126183508497699,22.5,True
152,A4068,359.98,-39.48,False,0,,,
153,RXC J1139.4-3327,174.86,-33.45,False,0,,,
154,A2566,349.03,-20.46,False,0,,,
155,RXC J0351.1-8212,57.79,-82.22,False,0,,,
163,A2988,33.22,-47.13,False,0,,,
165,A2871,16.95,-36.73,False,0,,,
166,RXC J1332.9-2519,203.23,-25.32,False,0,,,
167,A2063,230.77,8.6,True,6,0.5634742602449563,13.11,True
170,RX J0820.9+0751,125.26,7.87,True,6,0.3898499489340431,2.06,False
171,A2415,331.42,-5.59,True,18,0.5594887171691038,129.74,False
173,A3128,52.5,-52.6,False,0,,,
174,A1023,157.0,-6.8,True,3,0.3366017963237655,12.5,False
175,A3528,193.67,-29.22,False,0,,,
176,A1205,168.34,2.53,True,1,2.1043603831416746,73.06,False
178,A2734,2.84,-28.86,False,0,,,
179,A2377,326.48,-10.1,False,0,,,
180,RBS 0540,66.46,-8.56,False,0,,,
184,A761,137.65,-10.58,False,0,,,
187,A4067,359.83,-60.7,False,0,,,
188,A3825,329.61,-60.4,False,0,,,
189,A1809,208.25,5.16,True,1,3.872039650052605,1.73,False
192,A4038,356.93,-28.14,False,0,,,
193,A3104,48.58,-45.42,False,0,,,
195,RXC J2125.2-0657,321.3,-6.97,True,2,3.677099868995607,19.09,False
199,A514,72.05,-20.47,False,0,,,
200,A2589,350.97,16.81,False,0,,,
201,RXC J1416.8-1158,214.21,-11.98,False,0,,,
202,RXC J1459.0-0843,224.76,-8.73,False,0,,,
