cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_name,source_ra,source_dec,separation_arcmin,flux_mJy,flux_err_mJy,peak_flux_mJy,major_axis_arcsec,minor_axis_arcsec,frequency_mhz,catalog
88,RXC J2218.2-0350,334.57,-3.83,1,TGSSADR J221821.2-034811,334.58841,-3.80324,1.9474820784137916,355.6,36.8,185.6,,,150,gmrtas150m
88,RXC J2218.2-0350,334.57,-3.83,2,TGSSADR J221827.4-034702,334.61429,-3.78411,3.822545472790835,155.9,17.5,51.5,,,150,gmrtas150m
88,RXC J2218.2-0350,334.57,-3.83,3,TGSSADR J221830.1-034617,334.62564,-3.77161,4.834227281056753,212.1,22.4,54.3,,,150,gmrtas150m
90,A2443,336.51,17.38,1,TGSSADR J222603.3+172208,336.5141,17.36889,0.7067356556349574,1707.6,171.3,297.7,,,150,gmrtas150m
90,A2443,336.51,17.38,2,TGSSADR J222601.3+172114,336.50577,17.35401,1.5781012846703653,374.5,38.2,135.2,,,150,gmrtas150m
90,A2443,336.51,17.38,3,TGSSADR J222608.3+172111,336.535,17.3533,2.1484747192183615,804.5,80.8,278.6,,,150,gmrtas150m
90,A2443,336.51,17.38,4,TGSSADR J222607.0+171916,336.5293,17.32129,3.6919394371871785,95.5,11.2,69.0,,,150,gmrtas150m
93,A2050,229.08,0.1,1,TGSSADR J151620.7+000340,229.08635,0.06134,2.350681787638158,93.5,12.4,72.2,,,150,gmrtas150m
95,A1736,201.73,-27.18,1,TGSSADR J132645.2-270724,201.68849,-27.12351,4.049604959615529,1281.7,129.2,482.3,,,150,gmrtas150m
98,A4059,359.26,-34.76,1,TGSSADR J235700.8-344535,359.25363,-34.75988,0.3140781986217216,22994.7,2299.6,6623.4,,,150,gmrtas150m
100,A3998,350.39,-41.9,1,TGSSADR J232137.7-415346,350.4072,-41.89633,0.7990900449374037,234.8,24.2,194.6,,,150,gmrtas150m
100,A3998,350.39,-41.9,2,TGSSADR J232151.8-415053,350.46591,-41.84818,4.600959387322748,56.7,7.7,38.3,,,150,gmrtas150m
107,A2495,342.59,10.9,1,TGSSADR J225019.6+105412,342.58179,10.90355,0.5285303593230993,136.3,14.9,129.7,,,150,gmrtas150m
107,A2495,342.59,10.9,2,TGSSADR J225038.4+105424,342.66019,10.90682,4.155569598448281,42.9,7.5,46.1,,,150,gmrtas150m
108,A3836,332.35,-51.82,1,TGSSADR J220919.1-515055,332.32983,-51.84863,1.8735217265611364,46.6,7.3,46.9,,,150,gmrtas150m
109,A2533,346.81,-15.23,1,TGSSADR J230713.9-151330,346.80804,-15.22501,0.3201812864562594,67.4,9.2,49.4,,,150,gmrtas150m
111,A2556,348.25,-21.63,1,TGSSADR J231301.5-213803,348.25653,-21.63424,0.4442578263668562,169.7,18.3,95.0,,,150,gmrtas150m
115,MKW 3s,230.46,7.71,1,TGSSADR J152150.6+074138,230.46091,7.69415,0.9525379848770463,14890.9,1489.3,3943.8,,,150,gmrtas150m
115,MKW 3s,230.46,7.71,2,TGSSADR J152153.7+074323,230.474,7.72332,1.15394928569803,871.6,88.2,391.9,,,150,gmrtas150m
117,A458,56.48,-24.28,1,TGSSADR J034547.9-241538,56.44977,-24.26066,2.020038571321707,63.9,8.0,40.3,,,150,gmrtas150m
117,A458,56.48,-24.28,2,TGSSADR J034535.6-241532,56.39845,-24.25909,4.633645239172768,34.0,6.1,29.3,,,150,gmrtas150m
118,A133,15.68,-21.87,1,TGSSADR J010241.4-215241,15.67263,-21.87829,0.644829454413294,10678.6,1068.1,3833.9,,,150,gmrtas150m
118,A133,15.68,-21.87,2,TGSSADR J010245.3-215605,15.68888,-21.93495,3.9282290588458038,58.4,9.4,48.6,,,150,gmrtas150m
119,A2052,229.18,7.02,1,TGSSADR J151644.6+070117,229.18591,7.02159,0.3646419318965914,59675.6,5967.7,27033.0,,,150,gmrtas150m
119,A2052,229.18,7.02,2,TGSSADR J151649.8+065850,229.20764,6.98068,2.876675763424109,308.0,33.8,114.8,,,150,gmrtas150m
120,A2428,334.06,-9.34,1,TGSSADR J221615.4-091959,334.06458,-9.33322,0.48889029968851544,47.8,6.9,33.7,,,150,gmrtas150m
120,A2428,334.06,-9.34,2,TGSSADR J221621.0-091953,334.08768,-9.33161,1.7143754912851694,64.3,7.8,30.0,,,150,gmrtas150m
122,A119,14.08,-1.22,1,TGSSADR J005624.9-011656,14.10414,-1.28229,4.008119376151631,3389.2,339.5,427.6,,,150,gmrtas150m
127,A2554,348.09,-21.5,1,TGSSADR J231220.9-212942,348.08719,-21.49502,0.3374758924438316,1247.2,125.4,437.4,,,150,gmrtas150m
128,A2033,227.85,6.32,1,TGSSADR J151126.5+062056,227.86058,6.34893,1.8469074767424205,2846.8,285.7,1719.3,,,150,gmrtas150m
129,ACOS1111,349.77,-42.11,1,TGSSADR J231909.4-420621,349.78952,-42.10585,0.9038677400044978,2162.8,216.7,585.8,,,150,gmrtas150m
129,ACOS1111,349.77,-42.11,2,TGSSADR J231915.1-420456,349.81311,-42.0823,2.5388972557285148,139.4,15.6,52.2,,,150,gmrtas150m
129,ACOS1111,349.77,-42.11,3,TGSSADR J231920.0-420545,349.83368,-42.09589,2.958526095640809,188.7,19.8,49.6,,,150,gmrtas150m
130,A42,7.16,-23.64,1,TGSSADR J002836.8-233605,7.15339,-23.60148,2.339590693562673,230.2,24.1,125.4,,,150,gmrtas150m
133,A1606,191.16,-11.99,1,TGSSADR J124432.3-120254,191.1349,-12.04852,3.8076514922446734,74.3,9.2,42.6,,,150,gmrtas150m
133,A1606,191.16,-11.99,2,TGSSADR J124422.3-120016,191.09325,-12.00468,4.015316900619119,125.7,13.6,64.1,,,150,gmrtas150m
136,A2147,240.58,16.02,1,TGSSADR J160218.6+160319,240.57777,16.05532,2.123097897471861,129.2,14.4,126.3,,,150,gmrtas150m
139,A3532,194.32,-30.38,1,TGSSADR J125722.8-302147,194.3454,-30.36333,1.6520399331740603,5713.4,571.5,2833.6,,,150,gmrtas150m
139,A3532,194.32,-30.38,2,TGSSADR J125717.3-302058,194.32242,-30.34946,1.8366778124363925,806.4,81.6,293.1,,,150,gmrtas150m
139,A3532,194.32,-30.38,3,TGSSADR J125726.6-302420,194.36087,-30.4058,2.6211478749771646,130.6,14.6,60.2,,,150,gmrtas150m
140,A763,138.12,15.94,1,TGSSADR J091231.2+155531,138.1301,15.92547,1.0486172654901864,112.9,12.9,47.6,,,150,gmrtas150m
140,A763,138.12,15.94,2,TGSSADR J091233.2+155954,138.13861,15.99845,3.667624916640921,473.0,48.3,211.2,,,150,gmrtas150m
140,A763,138.12,15.94,3,TGSSADR J091236.8+160013,138.15373,16.00384,4.2962324443339,489.3,49.4,234.6,,,150,gmrtas150m
149,A13,3.41,-19.5,1,TGSSADR J001333.3-192848,3.38881,-19.48004,1.694332836198089,144.6,15.2,46.5,,,150,gmrtas150m
149,A13,3.41,-19.5,2,TGSSADR J001327.7-193005,3.36583,-19.50147,2.4997336223791353,1746.2,174.9,156.9,,,150,gmrtas150m
150,RXC J0034.2-0204,8.56,-2.08,1,TGSSADR J003413.2-020452,8.5551,-2.08125,0.3032277492146485,449.1,45.6,174.4,,,150,gmrtas150m
150,RXC J0034.2-0204,8.56,-2.08,2,TGSSADR J003408.5-020442,8.53578,-2.07842,1.455334151480868,251.9,25.7,86.3,,,150,gmrtas150m
153,RXC J1139.4-3327,174.86,-33.45,1,TGSSADR J113923.0-332707,174.84598,-33.45197,0.7117450825016064,1086.4,109.5,614.7,,,150,gmrtas150m
153,RXC J1139.4-3327,174.86,-33.45,2,TGSSADR J113922.7-332336,174.84483,-33.39352,3.4729082140252983,98.8,12.5,49.6,,,150,gmrtas150m
154,A2566,349.03,-20.46,1,TGSSADR J231604.9-202747,349.02051,-20.46308,0.5645763766359794,191.4,20.1,151.9,,,150,gmrtas150m
154,A2566,349.03,-20.46,2,TGSSADR J231605.8-202625,349.02417,-20.44029,1.227177943942416,34.9,7.0,26.3,,,150,gmrtas150m
165,A2871,16.95,-36.73,1,TGSSADR J010750.2-364321,16.95946,-36.72273,0.6302644732539552,189.0,19.4,151.6,,,150,gmrtas150m
166,RXC J1332.9-2519,203.23,-25.32,1,TGSSADR J133254.3-251825,203.22652,-25.30696,0.804845864044743,386.8,39.6,108.9,,,150,gmrtas150m
166,RXC J1332.9-2519,203.23,-25.32,2,TGSSADR J133251.5-251928,203.21478,-25.32471,0.8724907587730039,741.4,75.8,273.5,,,150,gmrtas150m
166,RXC J1332.9-2519,203.23,-25.32,3,TGSSADR J133250.0-251536,203.2086,-25.26015,3.7739972943819144,132.2,17.8,117.6,,,150,gmrtas150m
166,RXC J1332.9-2519,203.23,-25.32,4,TGSSADR J133246.0-251508,203.19177,-25.25225,4.563528337653915,115.4,16.3,78.4,,,150,gmrtas150m
167,A2063,230.77,8.6,1,TGSSADR J152301.8+083415,230.7578,8.57091,1.889524774825216,193.8,21.1,88.6,,,150,gmrtas150m
170,RX J0820.9+0751,125.26,7.87,1,TGSSADR J082058.2+075124,125.2426,7.85678,1.303342413373869,453.8,46.0,163.3,,,150,gmrtas150m
171,A2415,331.42,-5.59,1,TGSSADR J220538.4-053534,331.41003,-5.59302,0.6223177941796391,2121.8,212.5,1396.1,,,150,gmrtas150m
171,A2415,331.42,-5.59,2,TGSSADR J220546.0-053544,331.44174,-5.59561,1.34111833118345,74.5,10.2,34.0,,,150,gmrtas150m
174,A1023,157.0,-6.8,1,TGSSADR J102758.7-064755,156.99471,-6.79886,0.32250456207171024,84.6,9.9,90.6,,,150,gmrtas150m
