ou,ID,&,name,&,ra(deg),&,dec(deg),&,observed,* (observed in 2019),\\\hline,need exposure(hr) ,u+g,r+i+z,processed,old need(hr),2019obs+otr exp(hr),202002obs+otr exp(hr),extra,202011obs,202104obs,202107obs,202108obs,202112obs,202201obs,202202obs,202203obs,202205obs,202206obs,202207obs,202208obs,202209obs,202211obs,202212obs,202303obs,202304obs,202306obs,202307obs,202308obs,202310obs,202312obs,202406-7obs,redshift,lx,observed by Anja,E(B-V) SFD center,Affected by API,\\\hline,DES,SM vs PS1,Previous studies (lensing? or dynamical mass?),Links,Relaxed,Paper II,Chandra,eRosita,XMM,Processed by,Latest processing date,Processing finished
47,24,&,A2420,&,332.58,&,-12.18,&,yes,*,\\,0.00,0,0,2,4.81,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,0.0846,2.67E+44,0,,,\\,0,,x (R),https://arxiv.org/pdf/1912.04414.pdf,,,,,,Anthony,9/23/22,
49,25,&,A1285,&,172.58,&,-14.58,&,yes,,\\,0.00,0,0,,4.81,0,,,,,1.01,,,0.92,,2.88,,,,,,,,,,,,,,,,0.1068,2.61E+44,,,,\\,0,,,,,,,,,Rahul,,
51,26,&,A3911,&,341.58,&,-52.73,&,yes,*,\\,0.00,0,0,1,3.81,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,0.0965,2.57E+44,"no, only DES",0.013,,\\,,,,,,0,,,,Ian,,
55,27,&,A4010,&,352.80,&,-36.51,&,yes,*,\\,0.00,0,0,2,0.54,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,0.0957,2.42E+44,1,,,\\,,,,,,,,,,Ian,,
59,28,&,A2055,&,229.69,&,6.23,&,yes,,\\,0.00,0,0,,4.75,0,,,,,3.64,,,,,,,,,1.11,,,,,,,,,,,,0.1021,2.24E+44,,,,\\,,,,,,,,,,,,
60,29,&,RXC J1539.5-8335,&,234.89,&,-83.59,&,yes,*,\\,0.00,0,0,,3.28,2.39,,,,0.89,,,,,,,,,,,,,,,,,,,,,,0.0728,2.24E+44,,,,\\,,,,,,,,,,Shenming,,
63,30,&,A1750,&,202.71,&,-1.87,&,yes,*,\\,0.00,0,0,1,0.23,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,0.0852,2.13E+44,,,,\\,0,,x (O),https://academic.oup.com/pasj/article/60/2/345/1408905 https://iopscience.iop.org/article/10.3847/1538-4357/ac71ac,,1?,,,,Zach,,
64,31,&,A3822,&,328.54,&,-57.86,&,yes,*,\\,0.00,0,0,1,3.81,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,2.10E+44,,,,\\,,,,,,,,,,Ian,,
65,32,&,A1307,&,173.22,&,14.47,&,yes,*,\\,0.00,0,0,,4.81,0,1.17,,,,,,,0.60,,,2.05,,,,,,,0.98,,,,,,,,0.0834,2.07E+44,,,,\\,,,,,,,,,,Jessica,,
66,33,&,A3814,&,327.28,&,-30.70,&,yes,*,\\,0.00,0,0,,0.42,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,0.1184,2.05E+44,,,,\\,,,,,,,,,,Ian,,
69,34,&,A2941,&,26.26,&,-53.01,&,yes,*,\\,0.00,0,0,1,3.81,2.39,,,1.42,,,,,,,,,,,,,,,,,,,,,,,0.1168,2.01E+44,,,,\\,,,,,,,,,,lzzy,,
72,35,&,A2440,&,335.97,&,-1.64,&,yes,,\\,0.00,0,0,,3.81,0,,,,,,2.77,,,,,,,1.04,,,,,,,,,,,,,0.0906,1.90E+44,0,,,\\,1,,,,,,,,,Zach,,
74,36,&,A1644,&,194.29,&,-17.40,&,yes,,\\,0.00,0,0,1,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,1.90E+44,,,,\\,0,,x ,https://arxiv.org/pdf/2004.13662.pdf,,1,,,,Ian,,
75,37,&,A1348,&,175.35,&,-12.27,&,yes,*,\\,0.00,0,0,,0.66,0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,0.1195,1.89E+44,,,,\\,0,,x (R),,,,,,,Zach,,
77,38,&,RBS 1847,&,334.52,&,-65.19,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,3.64,,,,,,,1.17,,,,,,,,,,,,,0.0951,1.86E+44,,,,\\,,,,,,,,,,,,
78,39,&,A496,&,68.41,&,-13.26,&,yes,*,\\,0.00,0,0,,4.81,2.22,0.00,,1.17,,,,1.42,,,,,,,,,,,,,,,,,,,0.0326,1.85E+44,,,,\\,0,,,,,,,,,Richard,,
79,40,&,RXC J2344.2-0422,&,356.07,&,-4.37,&,yes,*,\\,0.00,0,0,,4.81,1.81,,,,,2.47,0.53,,,,,,,,,,,,,,,,,,,,0.0786,1.85E+44,,,,\\,few,,,,,,,,,Tom,,
81,41,&,RXC J1215.4-3900,&,183.87,&,-39.02,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,0.64,,0.37,,,,,1.96,0.31,,,,1.53,,,,,,,,0.119,1.83E+44,,,,\\,,,,,,,,,,,,
82,42,&,RXC J2313.9-4244,&,348.49,&,-42.73,&,yes,*,\\,0.00,0,0,,3.81,0.39,,,,,,2.96,,,,,,,,0.46,,,,,,,,,,,,0.0564,1.81E+44,,,,\\,,,,,,,,,,,,
83,43,&,A2721,&,1.51,&,-34.72,&,yes,*,\\,0.00,0,0,2,3.81,0,,,0.92,,1.46,1.43,,,,,,,,,,,,,,,,,,,,0.1147,1.81E+44,,,,\\,,,,,,1?,,,,Laurel,,
85,44,&,A2351,&,323.57,&,-13.48,&,yes,*,\\,0.00,0,0,1,4.81,2.7,,,,0.29,1.82,,,,,,,,,,,,,,,,,,,,,0.0897,1.79E+44,,,,\\,,,,,,,,,,Anthony,,
88,45,&,RXC J2218.2-0350,&,334.57,&,-3.83,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,,2.70,2.11,,,,,,,,,,,,0.0901,1.73E+44,,,,\\,,,,,,,,,,,,
90,46,&,A2443,&,336.51,&,17.38,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,,,4.81,,,,,,,,,,,,0.1072,1.71E+44,,,,\\,,,,,,,,,,,,
93,47,&,A2050,&,229.08,&,0.10,&,yes,*,\\,0.00,0,0,,3.26,0,0.20,,,1.67,1.38,,,,,,,,,,,,,,,,,,,,,0.1181,1.69E+44,,,,\\,0,,,,,1,,,,Ian/Jessica,,
94,48,&,APMCC 699,&,325.99,&,-56.63,,yes,,\\,0.00,0,0,,3.81,0,,2.08,,,1.73,0.00,,,,,,,,,,,,,,,,,,,,0.0824,1.68E+44,,,,\\,,,,,,,,,,Dani,,
95,49,&,A1736,&,201.73,&,-27.18,&,yes,,\\,0.00,0,0,,4.81,0,,,,,2.75,,,,,,,0.06,,1.99,,,,,,,,,,,,0.0458,1.67E+44,,,,\\,,,,,,,,,,,,
96,50,&,A2384,&,328.10,&,-19.57,&,yes,,\\,0.00,0,0,1.5,4.81,0,,2.23,,,2.58,,,,,,,,,,,,,,,,,,,,,0.0943,1.66E+44,,,,\\,,,,,,,,,,Ian,,
98,51,&,A4059,&,359.26,&,-34.76,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,,,4.81,,,,,,,,,,,,0.0475,1.63E+44,,,,\\,,,,,,,,,,,,
100,52,&,A3998,&,350.39,&,-41.90,&,yes,,\\,0.00,0,0,,3.81,0,,,,,,,,,,,,,,3.81,,,,,,,,,,,,0.0894,1.63E+44,,,,\\,,,,,,,,,,,,
102,53,&,A2703,&,1.34,&,16.21,&,almost,,\\,0.22,0.69,-0.47,,4.81,0,,,,,,,,,,,,,,,,,,,,0.27,2.63,,0.55,1.13,,0.1164,1.58E+44,,,,\\,,,,,,,,,,,,
107,54,&,A2495,&,342.59,&,10.90,&,yes,,\\,0.00,1.19,-1.18,,4.81,0,,,,,,,,,,,,,,2.50,,,,,,0.67,,,,0.46,1.17,0.0768,1.56E+44,,,,\\,,,,,,,,,,,,
108,55,&,A3836,&,332.35,&,-51.82,&,yes,,\\,0.00,0,0,,3.81,0,,,,,,,,,,,,0.61,3.20,,,,,,,,,,,,,0.1065,1.55E+44,,,,\\,,,,,,,,,,,,
109,56,&,A2533,&,346.81,&,-15.23,&,yes,,\\,0.00,0,0,,2.31,0,,,,,2.31,,,,,,,,,,,,,,,,,,,,,0.111,1.55E+44,,,,\\,,,,,,,,,,Jessica,,
111,57,&,A2556,&,348.25,&,-21.63,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,,,4.81,,,,,,,,,,,,0.0871,1.51E+44,,,,\\,,,,,,,,,,,,
115,58,&,MKW 3s,&,230.46,&,7.71,&,yes,,\\,0.00,0,0,,4.81,0,,,,,1.17,0.38,,,,,,,1.23,2.03,,,,,,,,,,,,0.0442,1.48E+44,,,,\\,,,,,,,1,,1,,,
116,59,&,A3126,&,52.16,&,-55.71,&,yes,,\\,0.00,0,0,,3.81,0,,,,,,,2.43,1.37,,,,,,,,,,,,,,,,,,0.0853,1.47E+44,,,,\\,,,,,,,,,,Jessica,,
117,60,&,A458,&,56.48,&,-24.28,&,yes,,\\,0.00,0,0,,3.81,0,,,,,,1.64,1.32,0.85,,,,,,,,,,,,,,,,,,0.1057,1.46E+44,,,,\\,1,,,,,,,,,Alex,,
118,61,&,A133,&,15.68,&,-21.87,&,yes,,\\,0.00,0,0,,3.81,0,,,,,,,,,,,,,,2.21,,1.59,,,,,,,,,,0.0569,1.46E+44,,,,\\,1,,,,,,,,,,,
119,62,&,A2052,&,229.18,&,7.02,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,,,2.58,,,,2.23,,,,,,,,0.0353,1.44E+44,,,,\\,,,,,,,,,,,,
120,63,&,A2428,&,334.06,&,-9.34,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,,,4.81,,,,,,,,,,,,0.0825,1.44E+44,,,,\\,,,,,,,,,,Soren,,
121,64,&,RXC J0049.4-2931,&,12.35,&,-29.52,&,yes,,\\,0.00,0.00,0.00,,3.81,0,,,,,,,,,,,,,,2.03,,,,,,,0.39,,1.39,,,0.1084,1.44E+44,,,,\\,1,,,,,,,,,,,
122,65,&,A119,&,14.08,&,-1.22,&,partially,,\\,1.39,1.44,-0.05,,3.81,0,,,,,,,,,,,,,,0.40,,,,,,,1.09,,0.10,0.82,,0.0442,1.44E+44,,,,\\,1,,,,,,,,,,,
127,66,&,A2554,&,348.09,&,-21.50,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,,,4.81,,,,,,,,,,,,0.1108,1.43E+44,,,,\\,,,,,,,,,,,,
128,67,&,A2033,&,227.85,&,6.32,&,yes,,\\,0.00,0,0,,4.81,0,,4.81,,,,,,,,,,,,,,,,,,,,,,,,0.0817,1.41E+44,,,,\\,,,,,,,,,,Ian,,
129,68,&,ACOS1111,&,349.77,&,-42.11,&,yes,,\\,0.00,0,0,,3.81,0,,,,,,,,,,,,,,3.81,,,,,,,,,,,,0.045,1.41E+44,,,,\\,,,,,,,,,,,,
130,69,&,A42,&,7.16,&,-23.64,&,partially,,\\,1.39,1.44,-0.05,,3.81,0,,,,,,,,,,,,,,,,,,,,0.40,1.09,,0.26,0.67,,0.112,1.40E+44,,,,\\,1,,,,,,,,,,,
132,70,&,A3395,&,96.81,&,-54.47,&,yes,*,\\,0.00,0,0,,4.81,0,,,1.35,1.50,,,1.95,,,,,,,,,,,,,,,,,,,0.0506,1.38E+44,,,,\\,,,,,0,,?,1,1,Julia,,
133,71,&,A1606,&,191.16,&,-11.99,&,yes,*,\\,0.00,0,0,1,0.44,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,0.0963,1.38E+44,,,,\\,0,,x (J),,,,,,,Ian,,
136,72,&,A2147,&,240.58,&,16.02,&,yes,,\\,0.00,0,0,,4.81,0,,,,,0.92,,,,,,,,,2.50,,,,,1.13,0.27,,,,,,0.0353,1.36E+44,,,,\\,,,,,,,,,,,,
138,73,&,A2670,&,358.56,&,-10.41,&,yes,*,\\,0.00,0,0,,1.57,0,,,0.57,,0.56,0.43,,,,,,,,,,,,,,,,,,,,0.0765,1.34E+44,,,,\\,0,,,,,1,,,,Shenming,,
139,74,&,A3532,&,194.32,&,-30.38,&,yes,,\\,0.00,0,0,,4.56,0,,,,,,,,,,,,,,2.12,,,,2.44,,,,,,,,0.0554,1.32E+44,,,,\\,,,,,,,,,,Shenming?,,
140,75,&,A763,&,138.12,&,15.94,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,2.10,0.38,2.11,0.22,,,,,,,,,,,,,,,0.0851,1.31E+44,,,,\\,,,,,,1?,,,,Soren,,
142,76,&,A2051,&,229.14,&,0.95,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,0.09,0.42,2.97,,,,1.33,,,,,,,,0.1198,1.30E+44,,,,\\,0,,,,,,,,,,,
147,77,&,RXC J0034.6-0208,&,8.65,&,-2.14,&,partially,,\\,2.67,1.83,0.84,,3.68,0,,,,,,,,,,,,,0.27,,,,,,,,0.74,,,,,0.0812,1.25E+44,,,,\\,1,,,,,,,,,,,
149,78,&,A13,&,3.41,&,-19.50,&,partially,,\\,1.38,2.08,-0.70,,4.81,0,,,,,,,,,,,,,,,,,,,,0.39,1.22,,,,1.82,0.094,1.24E+44,,,,\\,,,,,,,,,,,,
150,79,&,RXC J0034.2-0204,&,8.56,&,-2.08,&,partially,,\\,1.47,1.83,-0.35,,3.81,0,,,,,,,,,,,,,0.27,,,,,,,,0.74,,,,1.32,0.0822,1.23E+44,,,,\\,1,,https://ui.adsabs.harvard.edu/abs/2019A%26A...626A..48R/abstract,,,,,,1,,,
152,80,&,A4068,&,359.98,&,-39.48,&,almost,,\\,0.26,1.45,-1.19,,3.81,0,,,,,,,,,,,,,,,,,,,,,0.04,0.38,1.06,,2.07,0.1024,1.23E+44,,,,\\,,,,,,,,,,,,
153,81,&,RXC J1139.4-3327,&,174.86,&,-33.45,&,yes,,\\,0.00,0,0,,4.48,0,,,,,,,,,,,,,0.60,,,,,3.88,,,,,,,,0.1076,1.22E+44,,,,\\,,,,,,,,,,,,
154,82,&,A2566,&,349.03,&,-20.46,&,yes,,\\,0.00,0.00,0.00,,4.81,0,,,,,,,,,,,,,,1.65,,,,,,,1.95,,,,1.21,0.0822,1.21E+44,,,,\\,,,,,,,,,,,,
155,83,&,RXC J0351.1-8212,&,57.79,&,-82.22,&,yes,,\\,0.00,0,0,,4.72,0,,,,,,,,3.32,1.40,,,,,,,,,,,,,,,,,0.0613,1.20E+44,,,,\\,,,,,,,,,,Zach,,
163,84,&,A2988,&,33.22,&,-47.13,&,almost,,\\,0.32,0.32,0.00,,3.81,0,,,,,,,,2.03,,,,,,,,,,,,,,,1.19,,0.26,0.115,1.16E+44,,,,\\,,,,,,,,,,,,
165,85,&,A2871,&,16.95,&,-36.73,&,partially,,\\,1.39,1.83,-0.44,,3.81,0,,,,,,,,,,,,,,,,,,,,,,,1.10,,1.32,0.1186,1.16E+44,,,,\\,,,,,,,,,,,,
166,86,&,RXC J1332.9-2519,&,203.23,&,-25.32,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,,,0.65,,,,2.72,0.56,0.56,0.31,,,,,0.1199,1.14E+44,,,,\\,,,,,,,,,,,,
167,87,&,A2063,&,230.77,&,8.60,&,yes,,\\,0.00,0.31,-0.31,,4.81,0,,,,,,,,,,,,,,0.28,,,,2.86,0.79,0.56,,,,,0.31,0.0355,1.14E+44,,,,\\,,,,,,,,,,,,
170,88,&,RX J0820.9+0751,&,125.26,&,7.87,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,3.63,1.18,,,,,,,,,,,,,,,,,0.11,1.11E+44,,,,\\,,,,,,1?,,,,Jessica,,
171,89,&,A2415,&,331.42,&,-5.59,&,yes,,\\,0.00,0.64,-0.64,,4.81,0,,,,,,,,,,,,,,,,,,,0.63,2.73,,0.44,,,1.00,0.0582,1.11E+44,,,,\\,,,,,,,,,,,,
173,90,&,A3128,&,52.50,&,-52.60,&,yes,*,\\,0.00,0,0,,0.69,0,0.45,,,,0.24,,,,,,,,,,,,,,,,,,,,,0.0624,1.10E+44,,,,\\,,,,,,1,,,,Ian,,
174,91,&,A1023,&,157.00,&,-6.80,&,yes,,\\,0.00,0,0,,3.92,0,,,,,,,,1.39,,,2.53,,,,,,,,,,,,,,,0.1176,1.10E+44,,,,\\,,,,,,,,,,Lucca,,
175,92,&,A3528,&,193.67,&,-29.22,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,,,,,1.15,,,,2.22,1.44,,,,,,,0.0544,1.09E+44,,,,\\,,,,,,,,,,,,
176,93,&,A1205,&,168.34,&,2.53,&,yes,,\\,0.00,0,0,,4.74,0,,,,,,,,,,,,,,,,,,3.98,0.13,0.63,,,,,,0.078,1.09E+44,,,,\\,,,,,,,,,,,,
178,94,&,A2734,&,2.84,&,-28.86,&,partially,,\\,1.39,1.83,-0.44,,3.81,0,,,,,,,,,,,,,,,,,,,,,,,0.70,,1.72,0.062,1.09E+44,,,,\\,1,,,,,,,,,,,
179,95,&,A2377,&,326.48,&,-10.10,&,yes,,\\,-1.16,1.76,-2.93,,4.81,0,,,,,,,,,,,,,,,,,,,,1.16,,,,,4.81,0.0808,1.09E+44,,,,\\,,,,,,,,,,,,
180,96,&,RBS 0540,&,66.46,&,-8.56,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,1.18,0.43,,,,,,,,,3.20,,,,,,,,0.0397,1.08E+44,,,,\\,,,,,,,,,,,,
184,97,&,A761,&,137.65,&,-10.58,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,,,1.9325,,,,,,,,2.87,,,,,,,,0.0916,1.06E+44,,,,\\,,,,,,,,,,,,
187,98,&,A4067,&,359.83,&,-60.70,&,partially,,\\,1.76,0.00,1.76,,3.56,0,,,,,,,,,,,,,,,,,,,,,,,,,1.80,0.0989,1.05E+44,,,,\\,,,,,,,,,,,,
188,99,&,A3825,&,329.61,&,-60.40,&,yes,,\\,0.00,0,0,,0.69,0,,,,0.11,0.58,,,,,,,,,,,,,,,,,,,,,0.075,1.05E+44,,,,\\,,,,,,,,,,Anthony,,
189,100,&,A1809,&,208.25,&,5.16,&,yes,,\\,0.00,0.00,0.00,,4.81,0,,,,,,,,,,,,,,,,,,,,,0.17,,,,4.63,0.0788,1.04E+44,,,,\\,,,,,,,,,,,,
192,101,&,A4038,&,356.93,&,-28.14,&,partially,,\\,3.23,0.00,3.23,,4.81,0,,,,,,,,,,,,,,,,,,,,,0.63,,,,0.95,0.03,1.03E+44,,,,\\,,,,,,,,,,,,
