id,name,ra,dec,has_parkes_match,n_parkes_sources,n_hipass,n_hipass_n,n_pmn,n_pkscat90,closest_sep_arcmin,closest_catalog,closest_flux,closest_flux_unit
59,A2055,229.69,6.23,True,1,0,0,1,0,0.08315646580173164,PMN,,mJy
60,RXC J1539.5-8335,234.89,-83.59,False,0,0,0,0,0,,,,
63,A1750,202.71,-1.87,False,0,0,0,0,0,,,,
64,A3822,328.54,-57.86,False,0,0,0,0,0,,,,
65,A1307,173.22,14.47,False,0,0,0,0,0,,,,
66,A3814,327.28,-30.7,False,0,0,0,0,0,,,,
69,A2941,26.26,-53.01,False,0,0,0,0,0,,,,
72,A2440,335.97,-1.64,False,0,0,0,0,0,,,,
74,A1644,194.29,-17.4,True,1,0,0,1,0,1.0062450872214648,PMN,,mJy
75,A1348,175.35,-12.27,True,1,0,0,1,0,0.4195213195997005,PMN,,mJy
77,RBS 1847,334.52,-65.19,False,0,0,0,0,0,,,,
78,A496,68.41,-13.26,True,1,0,0,1,0,0.4937541054739616,PMN,,mJy
79,RXC J2344.2-0422,356.07,-4.37,False,0,0,0,0,0,,,,
81,RXC J1215.4-3900,183.87,-39.02,True,1,0,0,1,0,4.242905243410515,PMN,,mJy
82,RXC J2313.9-4244,348.49,-42.73,True,1,0,0,1,0,0.24799774905523483,PMN,,mJy
83,A2721,1.51,-34.72,False,0,0,0,0,0,,,,
85,A2351,323.57,-13.48,False,0,0,0,0,0,,,,
88,RXC J2218.2-0350,334.57,-3.83,False,0,0,0,0,0,,,,
90,A2443,336.51,17.38,False,0,0,0,0,0,,,,
93,A2050,229.08,0.1,False,0,0,0,0,0,,,,
94,APMCC 699,325.99,-56.63,True,1,0,0,1,0,0.9884491988532851,PMN,,mJy
95,A1736,201.73,-27.18,True,1,0,0,1,0,4.2154505132090465,PMN,,mJy
96,A2384,328.1,-19.57,False,0,0,0,0,0,,,,
98,A4059,359.26,-34.76,True,2,0,0,1,1,0.27267984601619194,PKSCAT90,0.35,Jy
100,A3998,350.39,-41.9,False,0,0,0,0,0,,,,
102,A2703,1.34,16.21,False,0,0,0,0,0,,,,
107,A2495,342.59,10.9,False,0,0,0,0,0,,,,
108,A3836,332.35,-51.82,False,0,0,0,0,0,,,,
109,A2533,346.81,-15.23,False,0,0,0,0,0,,,,
111,A2556,348.25,-21.63,False,0,0,0,0,0,,,,
115,MKW 3s,230.46,7.71,False,0,0,0,0,0,,,,
116,A3126,52.16,-55.71,False,0,0,0,0,0,,,,
