cluster_name,ra,dec,n_observations,n_unique_positions,ra_min,ra_max,dec_min,dec_max,spatial_extent_arcmin,freq_bands,can_make_image,reason
RXC J1215.4-3900,183.87,-39.02,11,7,182.255833,186.4335,-39.4399,-38.203056,208.40484569229596,680 MHz; 1419 MHz; 8400 MHz,True,7 unique positions over 208.4 arcmin
RXC J2313.9-4244,348.49,-42.73,63,9,346.2961,350.012917,-43.8793,-41.6575,211.2009575703865,1415 MHz,True,9 unique positions over 211.2 arcmin
A2721,1.51,-34.72,49,31,0.28125,3.785217,-36.115,-32.803296,263.332211192218,680 MHz; 1405 MHz,True,31 unique positions over 263.3 arcmin
A2351,323.57,-13.48,2,2,323.906462,324.088984,-13.583057,-13.504268,11.651706975050464,2300 MHz; 8600 MHz,False,Only 2 unique positions (need 5+ for mapping)
RXC J2218.2-0350,334.57,-3.83,29,23,333.136,336.0375,-5.7708,-3.464722,222.07406202276348,1411 MHz,True,23 unique positions over 222.1 arcmin
A2443,336.51,17.38,0,0,,,,,0.0,,False,No observations found
A2050,229.08,0.1,9,7,228.022917,230.0563,-1.4328,1.7693,227.589722227201,732 MHz; 1388 MHz,True,7 unique positions over 227.6 arcmin
APMCC 699,325.99,-56.63,11,11,323.0865,325.9725,-55.6066,-54.7899,107.11166488676801,1394 MHz,True,11 unique positions over 107.1 arcmin
A1736,201.73,-27.18,99,21,199.977083,203.9374,-27.568256,-25.7,239.26332081077743,685 MHz; 1409 MHz,True,21 unique positions over 239.3 arcmin
A2384,328.1,-19.57,1,1,326.172083,326.172083,-20.0475,-20.0475,0.0,1373 MHz,False,Only 1 unique position (need 5+ for mapping)
A4059,359.26,-34.76,39,11,0.28125,359.2174,-36.6272,-33.171389,17694.19950185664,680 MHz; 1409 MHz,True,11 unique positions over 17694.2 arcmin
A3998,350.39,-41.9,88,32,348.763667,352.1323,-43.568611,-40.2967,247.32824766619703,1414 MHz,True,32 unique positions over 247.3 arcmin
A2703,1.34,16.21,5,5,0.72875,2.78125,15.199722,17.483333,180.9906450915393,685 MHz; 1416 MHz,True,5 unique positions over 181.0 arcmin
A2495,342.59,10.9,19,9,340.9095,344.241,10.004722,11.270833,210.47145874992617,1412 MHz,True,9 unique positions over 210.5 arcmin
A3836,332.35,-51.82,118,69,329.3163,334.096725,-53.22072,-49.928912,265.41229443989937,1410 MHz,True,69 unique positions over 265.4 arcmin
A2533,346.81,-15.23,4,2,347.3128,347.5631,-15.4858,-15.0013,32.48139553684373,1421 MHz,False,Only 2 unique positions (need 5+ for mapping)
A2556,348.25,-21.63,0,0,,,,,0.0,,False,No observations found
MKW 3s,230.46,7.71,2,2,230.1032,230.1187,5.7719,6.574,48.134823246227164,732 MHz,False,Only 2 unique positions (need 5+ for mapping)
A3126,52.16,-55.71,93,16,49.0787,55.3523,-56.576556,-54.243056,254.11565375718448,1413 MHz,True,16 unique positions over 254.1 arcmin
A458,56.48,-24.28,18,14,54.35,57.268333,-25.521944,-22.661944,234.3554967812338,680 MHz; 1408 MHz,True,14 unique positions over 234.4 arcmin
A133,15.68,-21.87,1,1,16.555417,16.555417,-22.093056,-22.093056,0.0,1386 MHz,False,Only 1 unique position (need 5+ for mapping)
A2052,229.18,7.02,4,4,228.923333,230.1187,5.677222,6.574,89.23212343337983,732 MHz; 1395 MHz,False,Only 4 unique positions (need 5+ for mapping)
A2428,334.06,-9.34,47,40,332.4226,334.6436,-10.8338,-7.5,239.3777258365063,1412 MHz,True,40 unique positions over 239.4 arcmin
RXC J0049.4-2931,12.35,-29.52,500,164,10.1316,13.9982,-31.5,-27.542526,311.6680172937058,1370 MHz; 1421 MHz; 2300 MHz,True,164 unique positions over 311.7 arcmin
A119,14.08,-1.22,62,33,12.175304,15.823801,-2.423333,0.586667,283.7536701432262,1407 MHz,True,33 unique positions over 283.8 arcmin
A2554,348.09,-21.5,0,0,,,,,0.0,,False,No observations found
A2033,227.85,6.32,2,2,228.923333,229.640833,5.677222,6.259722,55.24804878676648,1395 MHz,False,Only 2 unique positions (need 5+ for mapping)
ACOS1111,349.77,-42.11,80,24,348.763667,352.1288,-43.568611,-41.0189,214.102555247931,1414 MHz,True,24 unique positions over 214.1 arcmin
A42,7.16,-23.64,224,97,5.016542,9.179042,-25.25,-21.9998,300.6249102304975,685 MHz; 1404 MHz,True,97 unique positions over 300.6 arcmin
A3395,96.81,-54.47,1,1,96.2575,96.2575,-55.747778,-55.747778,0.0,1398 MHz,False,Only 1 unique position (need 5+ for mapping)
A1606,191.16,-11.99,179,24,189.997633,192.634583,-13.6644,-10.096389,264.1644044978629,1419 MHz,True,24 unique positions over 264.2 arcmin
A2147,240.58,16.02,11,5,238.929167,241.045,14.631667,17.936111,232.80576478235423,1393 MHz,True,5 unique positions over 232.8 arcmin
A2670,358.56,-10.41,15,11,356.8536,360.1181,-11.5873,-9.1796,240.7939765666915,732 MHz; 1421 MHz,True,11 unique positions over 240.8 arcmin
A3532,194.32,-30.38,2,2,193.158333,194.965,-31.876389,-29.603889,165.33752631394074,1406 MHz,False,Only 2 unique positions (need 5+ for mapping)
A763,138.12,15.94,2,2,137.037083,139.675,16.317222,16.604444,153.1619251366794,1382 MHz,False,Only 2 unique positions (need 5+ for mapping)
A2051,229.14,0.95,8,7,228.022917,230.0617,-0.6316,2.5693,227.69390746751398,732 MHz; 1388 MHz,True,7 unique positions over 227.7 arcmin
RXC J0034.6-0208,8.65,-2.14,93,53,6.7811,10.509,-3.7098,-0.490183,295.4279244615204,75 MHz; 732 MHz; 1408 MHz; 2230 MHz,True,53 unique positions over 295.4 arcmin
A13,3.41,-19.5,97,50,1.762875,5.511333,-21.333333,-17.6833,304.8095916337952,1420 MHz,True,50 unique positions over 304.8 arcmin
RXC J0034.2-0204,8.56,-2.08,95,55,6.7014,10.271301,-3.7098,-0.143789,302.6513208476423,75 MHz; 732 MHz; 1408 MHz; 2230 MHz,True,55 unique positions over 302.7 arcmin
A4068,359.98,-39.48,91,25,0.134583,359.2744,-40.498333,-37.776111,16632.85212420125,1385 MHz,True,25 unique positions over 16632.9 arcmin
RXC J1139.4-3327,174.86,-33.45,39,36,173.197917,176.2858,-35.0467,-31.5478,260.7086879554456,1413 MHz,True,36 unique positions over 260.7 arcmin
A2566,349.03,-20.46,9,5,349.3145,350.5695,-21.3224,-18.8857,162.3339161391116,1421 MHz; 3100 MHz,True,5 unique positions over 162.3 arcmin
RXC J0351.1-8212,57.79,-82.22,4,4,58.009167,67.71125,-83.831111,-80.77198,199.74881201480974,1395 MHz,False,Only 4 unique positions (need 5+ for mapping)
A2988,33.22,-47.13,20,4,31.957083,34.7352,-48.2855,-45.347222,209.62072112737897,1389 MHz,False,Only 4 unique positions (need 5+ for mapping)
A2871,16.95,-36.73,178,74,14.6179,18.252047,-38.5,-35.0,273.2038633734921,1412 MHz,True,74 unique positions over 273.2 arcmin
RXC J1332.9-2519,203.23,-25.32,224,29,201.727917,205.3763,-26.528333,-23.488889,269.09401964604643,685 MHz; 1401 MHz,True,29 unique positions over 269.1 arcmin
A2063,230.77,8.6,0,0,,,,,0.0,,False,No observations found
RX J0820.9+0751,125.26,7.87,0,0,,,,,0.0,,False,No observations found
A2415,331.42,-5.59,23,13,329.8045,332.4226,-7.5,-4.2038,252.1024310964381,732 MHz; 1421 MHz,True,13 unique positions over 252.1 arcmin
A3128,52.5,-52.6,144,20,49.353333,55.0704,-54.5638,-51.1089,293.90174213493185,1417 MHz,True,20 unique positions over 293.9 arcmin
A1023,157.0,-6.8,19,18,155.2918,156.075,-7.5433,-5.61,125.0312982213074,1402 MHz,True,18 unique positions over 125.0 arcmin
A3528,193.67,-29.22,1,1,194.965,194.965,-29.603889,-29.603889,0.0,1408 MHz,False,Only 1 unique position (need 5+ for mapping)
A1205,168.34,2.53,7,4,167.70875,170.064167,1.208333,3.600556,201.3347321117388,1405 MHz,False,Only 4 unique positions (need 5+ for mapping)
A2734,2.84,-28.86,220,108,0.722083,4.7843,-30.793673,-26.958,313.8957351751584,1406 MHz,True,108 unique positions over 313.9 arcmin
A2377,326.48,-10.1,42,38,324.6491,327.9806,-11.4171,-8.333333,270.1145190722145,1412 MHz; 3100 MHz,True,38 unique positions over 270.1 arcmin
RBS 0540,66.46,-8.56,2,2,65.98875,66.709583,-9.381944,-7.600833,115.10691470240114,1392 MHz,False,Only 2 unique positions (need 5+ for mapping)
A761,137.65,-10.58,13,7,137.71125,139.526949,-12.083662,-8.863611,220.89740425193287,1392 MHz; 3100 MHz; 6035 MHz; 8400 MHz; 12178 MHz,True,7 unique positions over 220.9 arcmin
A4067,359.83,-60.7,12,6,1.239583,358.887917,-62.113611,-59.528056,10502.75489153183,1390 MHz,True,6 unique positions over 10502.8 arcmin
A3825,329.61,-60.4,9,5,327.110417,332.382083,-60.903611,-59.9675,166.02316603156956,1409 MHz,True,5 unique positions over 166.0 arcmin
A1809,208.25,5.16,6,6,207.0325,209.9161,3.951944,6.1728,217.82637392954393,732 MHz; 1410 MHz,True,6 unique positions over 217.8 arcmin
A4038,356.93,-28.14,0,0,,,,,0.0,,False,No observations found
A3104,48.58,-45.42,73,37,46.277083,50.475192,-47.307594,-43.994276,266.04401109252024,1414 MHz; 2300 MHz,True,37 unique positions over 266.0 arcmin
RXC J2125.2-0657,321.3,-6.97,17,10,319.81,323.1415,-7.55,-5.0064,250.31834530155885,732 MHz; 1416 MHz,True,10 unique positions over 250.3 arcmin
A514,72.05,-20.47,3,3,70.55,73.047917,-22.12,-19.293056,220.193362743246,1411 MHz,False,Only 3 unique positions (need 5+ for mapping)
A2589,350.97,16.81,4,3,349.225417,351.80625,15.0525,16.111944,161.28783920507271,1396 MHz,False,Only 3 unique positions (need 5+ for mapping)
RXC J1416.8-1158,214.21,-11.98,0,0,,,,,0.0,,False,No observations found
RXC J1459.0-0843,224.76,-8.73,1,1,225.232083,225.232083,-7.457222,-7.457222,0.0,1412 MHz,False,Only 1 unique position (need 5+ for mapping)
