id,name,ra,dec,in_tgss_coverage,has_gmrt_match,n_gmrt_sources,closest_sep_arcmin,closest_flux_mJy,gmrt_frequency_mhz
178,A2734,2.84,-28.86,True,True,1,0.3178177696848033,32.1,150
179,A2377,326.48,-10.1,True,False,0,,,150
180,RBS 0540,66.46,-8.56,True,True,2,0.227912488664363,439.8,150
184,A761,137.65,-10.58,True,True,1,0.286783423167114,3460.2,150
187,A4067,359.83,-60.7,False,False,0,,,150
188,A3825,329.61,-60.4,False,False,0,,,150
189,A1809,208.25,5.16,True,False,0,,,150
192,A4038,356.93,-28.14,True,True,2,0.62333604773915,4741.3,150
193,A3104,48.58,-45.42,True,True,2,3.993942155628394,117.6,150
195,RXC J2125.2-0657,321.3,-6.97,True,False,0,,,150
199,A514,72.05,-20.47,True,True,4,2.725244937398727,700.4,150
200,A2589,350.97,16.81,True,False,0,,,150
201,RXC J1416.8-1158,214.21,-11.98,True,True,1,4.809698714254979,25.4,150
202,RXC J1459.0-0843,224.76,-8.73,True,True,1,1.6834624102471947,135.4,150
