cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,total_flux_mJy,major_axis_arcsec,minor_axis_arcsec,resolved,s_code
4,A401,44.74,13.58,1,44.745021581169084,13.563393602758593,1.0385376778750774,0.7321920750927752,2.7220768872057968,18.85241792895706,15.979164204080822,U,S
4,A401,44.74,13.58,2,44.75130413609098,13.598265965175738,1.2789639582679366,0.897793626507597,11.99494605997083,42.64552358226606,25.386395908640633,U,S
4,A401,44.74,13.58,3,44.74586991116514,13.556405097039132,1.4565040555652606,0.9424001876138741,25.11841897759434,184.03653850093093,59.40379021059522,R,M
4,A401,44.74,13.58,4,44.71773093678396,13.599970963485744,1.7670690974984222,0.776591013760085,2.0575073760043012,14.91848904781559,14.390583976606987,U,S
4,A401,44.74,13.58,5,44.765913065280564,13.561476065737455,1.8760455861790106,0.5482312505292477,58.05022795690989,62.733517998535945,21.069445415172662,R,M
4,A401,44.74,13.58,6,44.75454580478395,13.613427089024409,2.177642608279905,5.260561797854017,15.648014827483726,15.350952022125284,11.119232706072259,R,M
4,A401,44.74,13.58,7,44.70926561744925,13.606995523581977,2.415833342421596,4.758636762511974,6.303371388365593,10.965189348619274,9.788816468567285,U,S
4,A401,44.74,13.58,8,44.76994443791372,13.620552757586795,2.9949647835079243,1.1272646893911602,4.410001743711344,11.964186727082769,6.690449435487595,R,M
4,A401,44.74,13.58,9,44.791808674114456,13.584185953838032,3.0320091780368803,0.7336067069060384,3.391389211794592,20.664376210459658,18.127615297726457,U,S
4,A401,44.74,13.58,10,44.75962437614358,13.636826737789594,3.5965356356988956,19.021373162463153,319.81264707196897,43.9488427074713,34.18804337757751,R,M
4,A401,44.74,13.58,11,44.784574105173604,13.62518194524147,3.7558089004593476,0.5974356004449163,8.750532513254603,41.833591653483595,28.371064695124083,U,S
4,A401,44.74,13.58,12,44.74177713196497,13.512956527831737,4.0239437736676935,2.3184284116932856,2.863814749391948,10.198500695545395,9.814103716753209,U,S
4,A401,44.74,13.58,13,44.67441385907104,13.548940859556023,4.255176013356258,0.7805151542594475,1.9136043247517005,17.255666619889325,11.51289250423421,U,S
4,A401,44.74,13.58,14,44.74497103992281,13.507350560255684,4.3686004050346,0.5377167587574335,1.7172968077269186,21.79679467612204,11.872268118967893,U,S
4,A401,44.74,13.58,15,44.81069642010978,13.60971427260974,4.491904355452713,0.927946362385277,2.426270892136935,18.57543861906633,11.40593291308865,U,S
4,A401,44.74,13.58,16,44.798357291773996,13.633706029510448,4.6866968423692486,0.5441589841416854,59.01242311586184,122.78524626949557,71.5698887736118,U,S
4,A401,44.74,13.58,17,44.81874513295132,13.56196364357961,4.718566799261484,1.9986951155118748,3.7798903461881563,14.200908620549383,10.790956953367727,U,S
4,A401,44.74,13.58,18,44.699870818315766,13.509376103885268,4.840983433255535,0.8356283745930355,5.814972304120242,27.935233023699052,14.166556628362297,R,M
4,A401,44.74,13.58,19,44.81149231579678,13.537067982414822,4.901450154748262,0.6728385743233112,107.99229674514963,160.57168267856449,33.06677265131539,R,M
4,A401,44.74,13.58,20,44.823721730506,13.60152943840224,5.0506325438649915,0.5501677638457221,1.9757534115419166,23.296351347284702,12.491113514705319,U,S
